# Valheim ObjectDB item prefabs extracted from local game assets.
# inventoryValid is true for prefabs with localized shared item names; false rows are usually internal creature/effect equipment.
# name	inventoryValid	baseDurability	durabilityStep	maxQuality	maxStack
BirchSeeds	true	100	50	1	100
BjornHide	true	100	50	1	50
BjornMeat	true	100	50	1	20
BjornPaw	true	100	50	1	50
BlackCore	true	100	50	1	20
BlackMarble	true	100	50	1	50
BlackMetal	true	100	50	1	30
BlackMetalScrap	true	100	50	1	30
BlackSoup	true	100	50	1	10
Blackwood	true	100	50	1	50
BlobVial	true	100	50	1	10
BloodPudding	true	100	50	1	10
Bloodbag	true	100	50	1	50
Blueberries	true	100	50	1	50
BoarJerky	true	100	50	1	20
BogWitchKvastur_attack	false	100	50	1	1
BoltBlackmetal	true	100	50	1	100
BoltBone	true	100	50	1	100
BoltCarapace	true	100	50	1	100
BoltCharred	true	100	50	1	100
BoltIron	true	100	50	1	100
BombBile	true	100	50	1	50
BombBlob_Frost	true	100	50	1	50
BombBlob_Lava	true	100	50	1	50
BombBlob_Poison	true	100	50	1	50
BombBlob_PoisonElite	true	100	50	1	50
BombBlob_Tar	true	100	50	1	50
BombLava	true	100	50	1	50
BombOoze	true	100	50	1	50
BombSiege	true	100	50	1	50
BombSmoke	true	100	50	1	50
BoneFragments	true	100	50	1	50
BoneMawSerpentMeat	true	100	50	1	50
BonemawSerpentScale	true	100	50	1	50
BonemawSerpentTooth	true	100	50	1	50
BonemawSerpent_bite	false	100	50	1	1
BonemawSerpent_breath	false	100	50	1	1
BonemawSerpent_ram	false	100	50	1	1
BonemawSerpent_spit	false	100	50	1	1
BonemawSerpent_taunt	false	100	50	1	1
Bow	true	50	50	4	1
BowAshlands	true	100	50	4	1
BowAshlandsBlood	true	100	50	4	1
BowAshlandsRoot	true	100	50	4	1
BowAshlandsStorm	true	100	50	4	1
BowDraugrFang	true	100	50	4	1
BowFineWood	true	100	50	4	1
BowHuntsman	true	100	50	4	1
BowSpineSnap	true	100	50	4	1
Bread	true	100	50	1	20
BreadDough	true	100	50	1	20
Bronze	true	100	50	1	30
BronzeNails	true	100	50	1	100
BronzeScrap	true	100	50	1	30
BugMeat	true	100	50	1	20
CandleWick	true	100	50	1	50
CapeAsh	true	1200	50	4	1
CapeAsksvin	true	1500	50	4	1
CapeDeerHide	true	400	50	4	1
CapeFeather	true	1200	50	4	1
CapeLinen	true	1500	50	4	1
CapeLox	true	1200	50	4	1
CapeOdin	true	1500	50	4	1
CapeTest	false	100	50	4	1
CapeTrollHide	true	500	50	4	1
CapeWolf	true	1000	50	4	1
Carapace	true	100	50	1	50
Carrot	true	100	50	1	50
CarrotSeeds	true	100	50	1	100
CarrotSoup	true	100	50	1	10
Catapult_ammo	true	100	50	1	50
CelestialFeather	true	100	50	1	50
CeramicPlate	true	100	50	1	30
Chain	true	100	50	1	50
CharcoalResin	true	100	50	1	50
CharredBone	true	100	50	1	50
CharredCogwheel	true	100	50	1	10
Charred_Breastplate	false	100	50	4	1
Charred_Helmet	false	100	50	4	1
Charred_HipCloth	false	100	50	4	1
Charred_MageCloths	false	100	50	4	1
Charredskull	true	100	50	1	50
ChickenEgg	true	100	50	1	20
ChickenMeat	true	100	50	1	20
Chitin	true	100	50	1	50
Cloudberry	true	100	50	1	50
Club	true	100	50	4	1
Coal	true	100	50	1	50
Coins	true	100	50	1	999
CookedAsksvinMeat	true	100	50	1	20
CookedBjornMeat	true	100	50	1	20
CookedBoneMawSerpentMeat	true	100	50	1	50
CookedBugMeat	true	100	50	1	20
CookedChickenMeat	true	100	50	1	20
CookedDeerMeat	true	100	50	1	20
CookedEgg	true	100	50	1	20
CookedHareMeat	true	100	50	1	20
CookedLoxMeat	true	100	50	1	20
CookedMeat	true	100	50	1	20
CookedVoltureMeat	true	100	50	1	20
CookedWolfMeat	true	100	50	1	20
Copper	true	100	50	1	30
CopperOre	true	100	50	1	30
CopperScrap	true	100	50	1	30
CrossbowArbalest	true	50	50	4	1
CrossbowRipper	true	50	50	4	1
CrossbowRipperBlood	true	50	50	4	1
CrossbowRipperLightning	true	50	50	4	1
CrossbowRipperNature	true	50	50	4	1
CryptKey	true	100	50	1	1
Crystal	true	100	50	1	50
Cultivator	true	200	200	3	1
CuredSquirrelHamstring	true	100	50	1	50
Dandelion	true	100	50	1	50
Deathsquito_sting	false	100	50	1	1
DeerHide	true	100	50	1	50
DeerMeat	true	100	50	1	20
DeerStew	true	100	50	1	10
Demister	true	100	50	1	1
DragonEgg	true	100	50	1	1
DragonTear	true	100	50	1	50
DvergerArbalest	true	50	50	4	1
DvergerArbalest_shoot	true	50	50	4	1
DvergerArbalest_shootAshlands	true	50	50	4	1
DvergerHairFemale	false	100	50	4	1
DvergerHairFemale_Redhair	false	100	50	4	1
DvergerHairMale	false	100	50	4	1
DvergerHairMale_Redbeard	false	100	50	4	1
DvergerMistile	false	100	50	1	1
DvergerStaffBlocker	false	100	50	1	1
DvergerStaffFire	false	100	50	1	1
DvergerStaffFire_clusterbomb	false	100	50	1	1
DvergerStaffFire_fireball	false	100	50	1	1
DvergerStaffHeal	false	100	50	1	1
DvergerStaffHeal_heal	false	100	50	1	1
DvergerStaffIce	false	100	50	1	1
DvergerStaffIce_icebolt	false	100	50	1	1
DvergerStaffNova	false	100	50	1	1
DvergerStaffSupport	false	100	50	1	1
DvergerStaffSupport_buff	false	100	50	1	1
DvergerSuitArbalest	false	100	50	4	1
DvergerSuitArbalest_Ashlands	false	100	50	4	1
DvergerSuitFire	false	100	50	4	1
DvergerSuitIce	false	100	50	4	1
DvergerSuitSupport	false	100	50	4	1
Dverger_melee	false	100	50	1	1
Dverger_meleeAshlands	false	100	50	1	1
DvergrKey	true	100	50	1	1
DvergrKeyFragment	true	100	50	1	9
DvergrNeedle	true	100	50	1	10
DyrnwynBladeFragment	true	100	50	1	1
DyrnwynHiltFragment	true	100	50	1	1
DyrnwynTipFragment	true	100	50	1	1
Ectoplasm	true	100	50	1	50
Eikthyr_antler	false	100	50	1	1
Eikthyr_charge	false	100	50	1	1
Eikthyr_flegs_OLD	false	100	50	1	1
Eikthyr_stomp	false	100	50	1	1
Eitr	true	100	50	1	30
ElderBark	true	100	50	1	50
Entrails	true	100	50	1	50
Eyescream	true	100	50	1	10
FaderDrop	true	100	50	1	30
Fader_Bite	false	100	50	1	1
Fader_Claw_Left	false	100	50	1	1
Fader_Claw_Right	false	100	50	1	1
Fader_Fissure	false	100	50	1	1
Fader_Fissure_Intense	false	100	50	1	1
Fader_Flamebreath	false	100	50	1	1
Fader_Jump	false	100	50	1	1
Fader_Jump_Left	false	100	50	1	1
Fader_Jump_Right	false	100	50	1	1
Fader_Meteors	false	100	50	1	1
Fader_Meteors_Intense	false	100	50	1	1
Fader_Roar	false	100	50	1	1
Fader_Roar_Intense	false	100	50	1	1
Fader_Spin	false	100	50	1	1
Fader_Taunt	false	100	50	1	1
Fader_WallOfFire	false	100	50	1	1
FeastAshlands	true	100	50	1	1
FeastAshlands_Material	true	100	50	1	5
FeastBlackforest	true	100	50	1	1
FeastBlackforest_Material	true	100	50	1	5
FeastMeadows	true	100	50	1	1
FeastMeadows_Material	true	100	50	1	5
FeastMistlands	true	100	50	1	1
FeastMistlands_Material	true	100	50	1	5
FeastMountains	true	100	50	1	1
FeastMountains_Material	true	100	50	1	5
FeastOceans	true	100	50	1	1
FeastOceans_Material	true	100	50	1	5
FeastPlains	true	100	50	1	1
FeastPlains_Material	true	100	50	1	5
FeastSwamps	true	100	50	1	1
FeastSwamps_Material	true	100	50	1	5
Feaster	true	100	100	3	1
Feathers	true	100	50	1	50
Fenring_attack_IceNova	false	100	50	1	1
Fenring_attack_claw	false	100	50	1	1
Fenring_attack_fireclaw	false	100	50	1	1
Fenring_attack_fireclaw_double	false	100	50	1	1
Fenring_attack_flames	false	100	50	1	1
Fenring_attack_frost	false	100	50	1	1
Fenring_attack_iceclaw	false	100	50	1	1
Fenring_attack_iceclaw_double	false	100	50	1	1
Fenring_attack_jump	false	100	50	1	1
Fenring_taunt	false	100	50	1	1
Fiddleheadfern	true	100	50	1	50
FierySvinstew	true	100	50	1	10
FineWood	true	100	50	1	50
FirCone	true	100	50	1	100
FireworksRocket_Blue	true	100	50	1	10
FireworksRocket_Cyan	true	100	50	1	10
FireworksRocket_Green	true	100	50	1	10
FireworksRocket_Purple	true	100	50	1	10
FireworksRocket_Red	true	100	50	1	10
FireworksRocket_White	true	100	50	1	10
FireworksRocket_Yellow	true	100	50	1	10
Fish1	true	100	50	5	10
Fish10	true	100	50	5	10
Fish11	true	100	50	5	10
Fish12	true	100	50	5	10
Fish2	true	100	50	5	10
Fish3	true	100	50	5	10
Fish4_cave	true	100	50	5	10
Fish5	true	100	50	5	10
Fish6	true	100	50	5	10
Fish7	true	100	50	5	10
Fish8	true	100	50	5	10
Fish9	true	100	50	5	10
FishAndBread	true	100	50	1	10
FishAndBreadUncooked	true	100	50	1	10
FishAnglerRaw	true	100	50	1	20
FishCooked	true	100	50	1	20
FishRaw	true	100	50	1	20
FishWraps	true	100	50	1	10
FishingBait	true	100	50	1	100
FishingBaitAshlands	true	100	50	1	100
FishingBaitCave	true	100	50	1	100
FishingBaitDeepNorth	true	100	50	1	100
FishingBaitForest	true	100	50	1	100
FishingBaitMistlands	true	100	50	1	100
FishingBaitOcean	true	100	50	1	100
FishingBaitPlains	true	100	50	1	100
FishingBaitSwamp	true	100	50	1	100
FishingRod	true	100	50	1	1
FistBjornClaw	true	300	50	4	1
FistBjornUndeadClaw	true	300	50	4	1
FistFenrirClaw	true	300	50	4	1
Flametal	true	100	50	1	30
FlametalNew	true	100	50	1	30
FlametalOre	true	100	50	1	30
FlametalOreNew	true	100	50	1	30
Flax	true	100	50	1	100
Flint	true	100	50	1	30
FragrantBundle	true	100	50	1	50
FreezeGland	true	100	50	1	50
FreshSeaweed	true	100	50	1	50
GemstoneBlue	true	100	50	1	50
GemstoneGreen	true	100	50	1	50
GemstoneRed	true	100	50	1	50
Ghost_attack	false	100	50	1	1
GiantBloodSack	true	100	50	1	50
GoblinArmband	false	100	50	4	1
GoblinBruteBros_Attack	false	100	50	7	1
GoblinBruteBros_RageAttack	false	100	50	7	1
GoblinBrute_ArmGuard	false	100	50	4	1
GoblinBrute_Attack	false	100	50	7	1
GoblinBrute_Backbones	false	100	50	4	1
GoblinBrute_ExecutionerCap	false	100	50	4	1
GoblinBrute_HipCloth	false	100	50	4	1
GoblinBrute_LegBones	false	100	50	4	1
GoblinBrute_RageAttack	false	100	50	7	1
GoblinBrute_ShoulderGuard	false	100	50	4	1
GoblinBrute_Taunt	false	100	50	7	1
GoblinClub	false	100	50	1	1
GoblinHelmet	false	100	50	4	1
GoblinKing_Beam	false	100	50	1	1
GoblinKing_Meteors	false	100	50	1	1
GoblinKing_Nova	false	100	50	1	1
GoblinKing_Taunt	false	100	50	1	1
GoblinLegband	false	100	50	4	1
GoblinLoin	false	100	50	4	1
GoblinShaman_Headdress_antlers	false	100	50	1	1
GoblinShaman_Headdress_feathers	false	100	50	1	1
GoblinShaman_Staff_Bones	false	100	50	1	1
GoblinShaman_Staff_Feathers	false	100	50	1	1
GoblinShaman_Staff_Hildir	false	100	50	1	1
GoblinShaman_attack_fireball	false	100	50	1	1
GoblinShaman_attack_fireball_hildir	false	100	50	1	1
GoblinShaman_attack_poke	false	100	50	1	1
GoblinShaman_attack_protect	false	100	50	1	1
GoblinShaman_attack_protect_hildir	false	100	50	1	1
GoblinShoulders	false	100	50	4	1
GoblinSpear	false	100	50	1	10
GoblinSword	false	100	50	7	1
GoblinTorch	false	100	50	1	1
GoblinTotem	true	100	50	1	30
Grausten	true	100	50	1	50
GreydwarfEye	true	100	50	1	50
Greydwarf_attack	false	100	50	1	1
Greydwarf_elite_attack	false	100	50	1	1
Greydwarf_shaman_attack	false	100	50	1	1
Greydwarf_shaman_heal	false	100	50	1	1
Greydwarf_throw	false	100	50	1	1
Greyling_attack	false	100	50	1	1
Guck	true	100	50	1	50
Hair1	true	100	50	1	1
Hair10	true	100	50	1	1
Hair10_2	true	100	50	1	1
Hair11	true	100	50	1	1
Hair11_2	true	100	50	1	1
Hair11_3	true	100	50	1	1
Hair12	true	100	50	1	1
Hair12_2	true	100	50	1	1
Hair13	true	100	50	1	1
Hair13_2	true	100	50	1	1
Hair13_3	true	100	50	1	1
Hair14	true	100	50	1	1
Hair14_2	true	100	50	1	1
Hair15	true	100	50	1	1
Hair15_2	true	100	50	1	1
Hair15_3	true	100	50	1	1
Hair16	true	100	50	1	1
Hair16_2	true	100	50	1	1
Hair17	true	100	50	1	1
Hair17_2	true	100	50	1	1
Hair18	true	100	50	1	1
Hair18_2	true	100	50	1	1
Hair19	true	100	50	1	1
Hair2	true	100	50	1	1
Hair20	true	100	50	1	1
Hair21	true	100	50	1	1
Hair21_2	true	100	50	1	1
Hair22	true	100	50	1	1
Hair22_2	true	100	50	1	1
Hair23	true	100	50	1	1
Hair24	true	100	50	1	1
Hair24_2	true	100	50	1	1
Hair24_3	true	100	50	1	1
Hair25	true	100	50	1	1
Hair26	true	100	50	1	1
Hair27	true	100	50	1	1
Hair27_2	true	100	50	1	1
Hair27_3	true	100	50	1	1
Hair28	true	100	50	1	1
Hair28_2	true	100	50	1	1
Hair28_3	true	100	50	1	1
Hair29	true	100	50	1	1
Hair29_2	true	100	50	1	1
Hair3	true	100	50	1	1
Hair30	true	100	50	1	1
Hair30_2	true	100	50	1	1
Hair30_3	true	100	50	1	1
Hair31	true	100	50	1	1
Hair31_2	true	100	50	1	1
Hair31_3	true	100	50	1	1
Hair32	true	100	50	1	1
Hair32_2	true	100	50	1	1
Hair32_3	true	100	50	1	1
Hair33	true	100	50	1	1
Hair33_2	true	100	50	1	1
Hair34	true	100	50	1	1
Hair34_2	true	100	50	1	1
Hair34_3	true	100	50	1	1
Hair35	true	100	50	1	1
Hair35_2	true	100	50	1	1
Hair35_3	true	100	50	1	1
Hair36	true	100	50	1	1
Hair36_2	true	100	50	1	1
Hair36_3	true	100	50	1	1
Hair37	true	100	50	1	1
Hair37_2	true	100	50	1	1
Hair37_3	true	100	50	1	1
Hair3_2	true	100	50	1	1
Hair3_3	true	100	50	1	1
Hair4	true	100	50	1	1
Hair4_2	true	100	50	1	1
Hair4_3	true	100	50	1	1
Hair5	true	100	50	1	1
Hair5_2	true	100	50	1	1
Hair6	true	100	50	1	1
Hair6_2	true	100	50	1	1
Hair6_3	true	100	50	1	1
Hair7	true	100	50	1	1
Hair7_2	true	100	50	1	1
Hair8	true	100	50	1	1
Hair8_2	true	100	50	1	1
Hair9	true	100	50	1	1
Hair9_2	true	100	50	1	1
HairNone	true	100	50	1	1
Hammer	true	100	100	3	1
HardAntler	true	100	50	1	50
HareMeat	true	100	50	1	20
HealthUpgrade_Bonemass	false	100	50	1	1
HealthUpgrade_GDKing	false	100	50	1	1
HelmetAshlandsMediumHood	true	1000	200	4	1
HelmetBerserkerHood	true	1000	200	4	1
HelmetBerserkerUndead	true	1000	200	4	1
HelmetBronze	true	1000	200	4	1
HelmetCarapace	true	1200	200	4	1
HelmetCelebration	true	800	100	4	1
HelmetDrake	true	1000	200	4	1
HelmetDverger	true	1000	100	1	1
HelmetFenring	true	1000	200	4	1
HelmetFishingHat	true	1000	200	4	1
HelmetFlametal	true	800	100	4	1
HelmetHat1	true	800	100	4	1
HelmetHat10	true	800	100	4	1
HelmetHat2	true	800	100	4	1
HelmetHat3	true	800	100	4	1
HelmetHat4	true	800	100	4	1
HelmetHat5	true	800	100	4	1
HelmetHat6	true	800	100	4	1
HelmetHat7	true	800	100	4	1
HelmetHat8	true	800	100	4	1
HelmetHat9	true	800	100	4	1
HelmetIron	true	1000	200	4	1
HelmetLeather	true	400	100	4	1
HelmetMage	true	1000	200	4	1
HelmetMage_Ashlands	true	1000	200	4	1
HelmetMidsummerCrown	true	1000	50	1	1
HelmetOdin	true	300	100	4	1
HelmetPadded	true	1000	200	4	1
HelmetPointyHat	true	800	100	4	1
HelmetRoot	true	800	100	4	1
HelmetStrawHat	true	800	100	4	1
HelmetSweatBand	true	1000	200	4	1
HelmetTrollLeather	true	500	200	4	1
HelmetYule	true	1000	50	1	1
HildirKey_forestcrypt	true	100	50	1	1
HildirKey_mountaincave	true	100	50	1	1
HildirKey_plainsfortress	true	100	50	1	1
Hoe	true	200	200	3	1
Honey	true	100	50	1	50
HoneyGlazedChicken	true	100	50	1	10
HoneyGlazedChickenUncooked	true	100	50	1	10
Iron	true	100	50	1	30
IronNails	true	100	50	1	100
IronOre	true	100	50	1	30
IronScrap	true	100	50	1	30
Ironpit	true	100	50	1	10
JuteBlue	true	100	50	1	50
JuteRed	true	100	50	1	50
KnifeBlackMetal	true	200	50	4	1
KnifeButcher	true	200	50	1	1
KnifeChitin	true	200	50	4	1
KnifeCopper	true	200	50	4	1
KnifeFlint	true	200	50	4	1
KnifeSilver	true	200	50	4	1
KnifeSkollAndHati	true	200	50	4	1
KnifeWood	true	200	50	4	1
Lantern	true	0	0	1	1
Larva	true	100	50	1	20
LeatherScraps	true	100	50	1	50
Leech_BiteAttack	false	100	50	1	1
LinenThread	true	100	50	1	50
LoxMeat	true	100	50	1	20
LoxPelt	true	100	50	1	50
LoxPie	true	100	50	1	10
LoxPieUncooked	true	100	50	1	10
MaceBronze	true	200	50	4	1
MaceEldner	true	150	50	4	1
MaceEldnerBlood	true	150	50	4	1
MaceEldnerLightning	true	150	50	4	1
MaceEldnerNature	true	150	50	4	1
MaceIron	true	200	50	4	1
MaceNeedle	true	150	50	4	1
MaceSilver	true	200	50	4	1
MaceWood	true	200	50	4	1
MagicallyStuffedShroom	true	100	50	1	10
MagicallyStuffedShroomUncooked	true	100	50	1	10
Mandible	true	100	50	1	50
MarinatedGreens	true	100	50	1	10
MashedMeat	true	100	50	1	10
MeadBaseBugRepellent	true	100	50	1	1
MeadBaseBzerker	true	100	50	1	1
MeadBaseEitrLingering	true	100	50	1	1
MeadBaseEitrMinor	true	100	50	1	1
MeadBaseFrostResist	true	100	50	1	1
MeadBaseHasty	true	100	50	1	1
MeadBaseHealthLingering	true	100	50	1	1
MeadBaseHealthMajor	true	100	50	1	1
MeadBaseHealthMedium	true	100	50	1	1
MeadBaseHealthMinor	true	100	50	1	1
MeadBaseLightFoot	true	100	50	1	1
MeadBasePoisonResist	true	100	50	1	1
MeadBaseStaminaLingering	true	100	50	1	1
MeadBaseStaminaMedium	true	100	50	1	1
MeadBaseStaminaMinor	true	100	50	1	1
MeadBaseStrength	true	100	50	1	1
MeadBaseSwimmer	true	100	50	1	1
MeadBaseTamer	true	100	50	1	1
MeadBaseTasty	true	100	50	1	1
MeadBugRepellent	true	100	50	1	10
MeadBzerker	true	100	50	1	10
MeadEitrLingering	true	100	50	1	10
MeadEitrMinor	true	100	50	1	10
MeadFrostResist	true	100	50	1	10
MeadHasty	true	100	50	1	10
MeadHealthLingering	true	100	50	1	10
MeadHealthMajor	true	100	50	1	10
MeadHealthMedium	true	100	50	1	10
MeadHealthMinor	true	100	50	1	10
MeadLightfoot	true	100	50	1	10
MeadPoisonResist	true	100	50	1	10
MeadStaminaLingering	true	100	50	1	10
MeadStaminaMedium	true	100	50	1	10
MeadStaminaMinor	true	100	50	1	10
MeadStrength	true	100	50	1	10
MeadSwimmer	true	100	50	1	10
MeadTamer	true	100	50	1	10
MeadTasty	true	100	50	1	10
MeadTrollPheromones	true	100	50	1	10
MeatPlatter	true	100	50	1	10
MeatPlatterUncooked	true	100	50	1	10
MechanicalSpring	true	100	50	1	10
MinceMeatSauce	true	100	50	1	10
MisthareSupreme	true	100	50	1	10
MisthareSupremeUncooked	true	100	50	1	10
Mistile_kamikaze	false	100	50	1	1
MoltenCore	true	100	50	1	20
MorgenHeart	true	100	50	1	50
MorgenSinew	true	100	50	1	50
Morgen_bite	false	100	50	1	1
Morgen_bodyslam	false	100	50	1	1
Morgen_roll_left	false	100	50	1	1
Morgen_roll_right	false	100	50	1	1
Morgen_swipe_1	false	100	50	1	1
Morgen_swipe_2	false	100	50	1	1
Morgen_swipe_3	false	100	50	1	1
Morgen_swipe_4	false	100	50	1	1
Morgen_swipe_5	false	100	50	1	1
Morgen_swipe_6	false	100	50	1	1
Mushroom	true	100	50	1	50
MushroomBlue	true	100	50	1	50
MushroomBzerker	true	100	50	1	50
MushroomJotunPuffs	true	100	50	1	50
MushroomMagecap	true	100	50	1	50
MushroomOmelette	true	100	50	1	10
MushroomSmokePuff	true	100	50	1	50
MushroomYellow	true	100	50	1	50
NeckTail	true	100	50	1	50
NeckTailGrilled	true	100	50	1	20
Neck_BiteAttack	false	100	50	1	1
Needle	true	100	50	1	50
Obsidian	true	100	50	1	50
Onion	true	100	50	1	50
OnionSeeds	true	100	50	1	100
OnionSoup	true	100	50	1	10
Ooze	true	100	50	1	50
PickaxeAntler	true	100	50	1	1
PickaxeBlackMetal	true	210	50	4	1
PickaxeBronze	true	120	50	4	1
PickaxeIron	true	150	50	4	1
PickaxeStone	true	100	50	1	1
PineCone	true	100	50	1	100
PiquantPie	true	100	50	1	10
PiquantPieUncooked	true	100	50	1	10
PlayerUnarmed	false	100	50	1	1
Pot_Shard_Green	true	100	50	1	50
Pot_Shard_Red	true	100	50	1	50
PowderedDragonEgg	true	100	50	1	50
ProustitePowder	true	100	50	1	50
Pukeberries	true	100	50	1	50
PungentPebbles	true	100	50	1	50
QueenBee	true	100	50	1	20
QueenDrop	true	100	50	1	30
QueensJam	true	100	50	1	10
Raspberry	true	100	50	1	50
RawMeat	true	100	50	1	20
Resin	true	100	50	1	50
RoastedCrustPie	true	100	50	1	10
RoastedCrustPieUncooked	true	100	50	1	10
Root	true	100	50	1	50
RottenMeat	true	100	50	1	20
RoundLog	true	100	50	1	50
RoyalJelly	true	100	50	1	50
Ruby	true	100	50	1	20
SaddleAsksvin	true	100	50	1	1
SaddleLox	true	100	50	1	1
Salad	true	100	50	1	10
Sap	true	100	50	1	50
Sausages	true	100	50	1	20
ScaleHide	true	100	50	1	50
